H,2B,3B,HR,BB
1283,259,50,176,560
1433,314,29,175,511
1317,242,15,188,422
1509,355,31,208,569
1453,286,34,167,576
1332,259,40,182,425
1404,251,25,172,559
1447,297,19,216,554
1418,280,42,210,507
1326,284,35,135,428
1390,278,18,205,565
1350,283,29,155,427
1323,249,23,214,514
1394,296,33,235,647
1303,222,24,128,455
1398,252,24,218,537
1380,318,22,166,534
1282,265,34,170,566
1374,269,23,267,625
1407,322,20,227,550
1271,241,30,186,582
1381,290,38,157,474
1289,250,30,162,471
1402,256,32,176,430
1324,255,30,133,448
1369,248,9,205,525
1415,274,43,150,540
1308,266,24,194,555
1336,320,16,217,499
1402,284,25,191,631